gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000272144.1,CTD-2035E11.5,-0.5244592360743214,NA,0.5999591652672971,0.003077898496114443,NA,NA,NA,2,2,2,0.5379920869405006,0.18426638948863
ENSG00000151353.14,TMEM18,-0.5243254419986837,NA,0.6000522040898789,0.09468999936511527,NA,NA,NA,2,2,2,0.3929703731537837,0.36858813430987897
ENSG00000167740.9,CYB5D2,-0.5242258371741704,NA,0.6001214723487436,0.025663874068571693,NA,NA,NA,3,3,3,0.38442236777908145,0.20593333383426998
ENSG00000198053.11,SIRPA,-0.5240547095404686,NA,0.6002404882142012,0.00559535882956683,NA,NA,NA,3,3,3,0.4803511911119491,0.0901172692558501
ENSG00000168785.7,TSPAN5,-0.5238013624267165,NA,0.6004167056902298,0.015008633109458339,NA,NA,NA,2,2,2,0.5992518506254153,0.183836664893649
ENSG00000101577.9,LPIN2,-0.5236664325385513,NA,0.6005105667260142,0.03956521301973502,NA,NA,NA,2,2,2,0.35262024623426513,0.19694300009893
ENSG00000111269.2,CREBL2,-0.5235019326210022,NA,0.6006250064798787,0.0005362133428659008,NA,NA,NA,1,1,1,0.6006250064798787,0.0316187696595767
ENSG00000121797.9,CCRL2,-0.5233219861984254,NA,0.6007502033877667,0.0017999516132676517,NA,NA,NA,1,1,1,0.6007502033877667,0.09446941255955302
ENSG00000189057.10,FAM111B,-0.5233191251754761,NA,0.6007521940267431,2.53007681208084e-06,NA,NA,NA,1,1,1,0.6007521940267431,0.006709283200720629
ENSG00000072201.13,LNX1,0.5231815038071533,NA,0.6008479515701677,0.021540985798996805,NA,NA,NA,2,2,2,0.08243816965243637,0.17588342401581697
ENSG00000173442.12,EHBP1L1,-0.5229381881004516,NA,0.6010172685619408,0.0013400730760565471,NA,NA,NA,3,3,3,0.5198792038281519,0.13291665164199498
ENSG00000145604.15,SKP2,0.5228948593139648,NA,0.6010474221834085,0.009147838074435975,NA,NA,NA,1,2,2,0.6010474221834085,0.234153912839749
ENSG00000127903.13,ZNF835,0.5227816281239069,NA,0.6011262259181378,0.01101821544865228,NA,NA,NA,2,2,2,0.023521672468382788,0.13023442072195202
ENSG00000136936.10,XPA,-0.5226775407791138,NA,0.6011986700694472,0.0007464163240891398,NA,NA,NA,1,1,1,0.6011986700694472,0.0416469117659679
ENSG00000229373.8,LINC00452,-0.5226657390594482,NA,0.6012068842424806,0.019462255073131093,NA,NA,NA,1,1,1,0.6012068842424806,0.26334098683011103
ENSG00000197774.12,EME2,-0.5226454138755797,NA,0.6012210309925885,0.022209421062859266,NA,NA,NA,1,2,2,0.6012210309925883,0.211618681826032
ENSG00000074071.14,MRPS34,-0.5226454138755797,NA,0.6012210309925885,0.0009726523537189846,NA,NA,NA,1,1,1,0.6012210309925883,0.0442857706888145
ENSG00000234719.8,NPIPB2,0.5226013627803153,NA,0.6012516919855908,0.6073270631309533,NA,NA,NA,2,2,2,0.29085413256416504,1.0907249107508799
ENSG00000134882.15,UBAC2,-0.5224069356918336,NA,0.6013870279861881,0.001449903177562404,NA,NA,NA,1,1,1,0.6013870279861883,0.0620165196472969
ENSG00000213366.12,GSTM2,0.5222493825597262,NA,0.601496706999789,0.058134020525094025,NA,NA,NA,5,6,6,0.32159975944286956,0.421673740077073
ENSG00000121905.9,HPCA,0.5221636295318604,NA,0.6015564068926316,0.0003358431930554929,NA,NA,NA,1,1,1,0.6015564068926316,0.0656853984055826
ENSG00000167656.4,LY6D,-0.5221416152471755,NA,0.6015717333184055,0.02193481102736805,NA,NA,NA,2,2,2,0.20356786873722676,0.250982519117702
ENSG00000269186.1,LINC01082,-0.5221099853515625,NA,0.6015937544761907,6.382205012746109e-06,NA,NA,NA,1,2,2,0.6015937544761907,0.0154240952019312
ENSG00000165474.5,GJB2,0.5218817591667175,NA,0.6017526593867388,0.023169611797255206,NA,NA,NA,1,1,1,0.6017526593867388,0.610170277023771
ENSG00000175538.10,KCNE3,0.521739857896845,NA,0.6018514691995712,0.007842478834473556,NA,NA,NA,2,2,2,0.6115300380328297,0.15059367584608302
ENSG00000139269.2,INHBE,0.5217314958572387,NA,0.6018572921492935,0.007153675356913,NA,NA,NA,1,1,1,0.6018572921492933,0.1256068606724
ENSG00000109832.13,DDX25,-0.5214655399322509,NA,0.6020425051907181,0.07666092643529047,NA,NA,NA,1,1,1,0.6020425051907181,0.46872142415149703
ENSG00000134443.9,GRP,-0.5213575614726269,NA,0.6021177092646192,0.0004477433969589243,NA,NA,NA,2,2,2,0.2905922595749122,0.0975573321046257
ENSG00000168005.8,C11orf84,-0.5212547753157638,NA,0.6021893009735009,0.016131333025948554,NA,NA,NA,2,2,2,0.28094053062149305,0.32830077252966305
ENSG00000165895.17,ARHGAP42,0.5211213231086731,NA,0.6022822576527328,0.0034447883672404766,NA,NA,NA,1,1,1,0.6022822576527328,0.0952980313876486
ENSG00000162444.11,RBP7,-0.5210145385465134,NA,0.6023566435313099,0.015375314638013782,NA,NA,NA,2,2,2,0.5125451029605022,0.394465017597936
ENSG00000273611.4,ZNHIT3,0.5209820486001966,NA,0.6023792767738352,0.033680467695360955,NA,NA,NA,2,2,2,0.5318314095705581,0.17081158797125798
ENSG00000204278.12,TMEM235,0.520930051803589,NA,0.6024154997332996,0.015541875145801614,NA,NA,NA,1,1,1,0.6024154997332997,0.18204297681737802
ENSG00000166415.14,WDR72,-0.5208332486276878,NA,0.6024829391458493,0.5574334897508979,NA,NA,NA,2,3,3,0.4204386045916938,0.605794380229033
ENSG00000116774.11,OLFML3,-0.5207764959986065,NA,0.6025224783137274,0.009859260996174323,NA,NA,NA,2,2,2,0.06680587678451759,0.16372133642004802
ENSG00000157617.16,C2CD2,0.5207118896959214,NA,0.6025674905045771,0.043976549301841014,NA,NA,NA,3,3,3,0.39594784048001186,0.23013199624707897
ENSG00000065526.10,SPEN,0.5205302834510802,NA,0.6026940264399511,0.0003325304493141282,NA,NA,NA,1,1,1,0.6026940264399511,0.0448372947173974
ENSG00000072182.12,ASIC4,0.5205154418945312,NA,0.6027043679690811,0.015739842403043953,NA,NA,NA,1,1,1,0.6027043679690811,0.202504325763359
ENSG00000101421.3,CHMP4B,-0.5204109265571709,NA,0.6027771960431434,0.005048194597338833,NA,NA,NA,2,2,2,0.5200731546571352,0.06760798294255099
ENSG00000164398.12,ACSL6,-0.5199814359812392,NA,0.6030765139994727,0.028374068645059283,NA,NA,NA,2,2,2,0.28934321826124465,0.27535199952211703
ENSG00000006016.10,CRLF1,0.5197840929031372,NA,0.6032140675540429,0.004227112698367578,NA,NA,NA,1,1,1,0.6032140675540429,0.0932636990909812
ENSG00000101189.6,MRGBP,-0.5197791457176208,NA,0.6032175160597673,0.016495353020638124,NA,NA,NA,1,1,1,0.6032175160597673,0.390586847236346
ENSG00000113068.9,PFDN1,0.5197375416755675,NA,0.6032465170973096,0.0014548251298897095,NA,NA,NA,1,1,1,0.6032465170973096,0.254500400829297
ENSG00000196214.10,ZNF766,0.5196420550346375,NA,0.6033130805891029,0.0006129272696810739,NA,NA,NA,1,1,1,0.6033130805891029,0.0523611789905101
ENSG00000124780.13,KCNK17,-0.5195630086334474,NA,0.6033681861309174,0.0646517536676457,NA,NA,NA,2,2,2,0.6525261479201827,0.39418017735834704
ENSG00000114125.13,RNF7,-0.5195440873091023,NA,0.6033813770713226,0.025932277375131485,NA,NA,NA,2,2,2,0.4552137641348406,0.345273270149683
ENSG00000274922.1,RP11-88E10.5,0.5194539777123047,NA,0.6034441984660857,0.02944131852726976,NA,NA,NA,2,2,2,0.5902564987664278,0.23426582660873999
ENSG00000114388.12,NPRL2,0.5193436741828918,NA,0.6035211023976469,7.74227369952749e-06,NA,NA,NA,1,2,2,0.6035211023976469,0.00570154137966334
ENSG00000114395.10,CYB561D2,0.5193436741828917,NA,0.603521102397647,0.00508017642812298,NA,NA,NA,1,1,1,0.6035211023976469,0.1460486066673
ENSG00000183036.10,PCP4,0.5192889413704638,NA,0.6035592639041601,0.010067399445657531,NA,NA,NA,2,2,2,0.6191163521581333,0.150269540744949
ENSG00000115548.16,KDM3A,0.519271847905367,NA,0.6035711822492303,0.0009936809888652256,NA,NA,NA,2,2,2,0.4270650251631877,0.0755058131563504
ENSG00000108379.9,WNT3,0.5192051599383823,NA,0.6036176811590165,0.049153482002081306,NA,NA,NA,2,2,2,0.2629799924671353,0.37037430910765295
ENSG00000170786.12,SDR16C5,0.5191764351522901,NA,0.6036377103244337,1.29055093845147e-06,NA,NA,NA,2,2,2,0.33895358537474574,0.0021677419377831
ENSG00000185988.11,PLK5,0.5189578269853937,NA,0.6037901508063983,0.02509504320453565,NA,NA,NA,2,2,2,0.48529856313472786,0.160451047756819
ENSG00000261701.6,HPR,0.5189545734532436,NA,0.603792419699518,0.04435144135337151,NA,NA,NA,2,2,2,0.2005555855679808,0.269608843216991
ENSG00000023228.13,NDUFS1,0.5189462900161743,NA,0.6037981962797909,0.004590929737755306,NA,NA,NA,1,1,1,0.6037981962797909,0.0960807313383214
